"FullName","Name","PSIsContainer","Length","LastWriteTime"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202644_nogui.json","FH6_StateSnapshot_20260608_202644_nogui.json","False","441483","6/8/2026 8:27:05 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202644_nogui.txt","FH6_StateSnapshot_20260608_202644_nogui.txt","False","6755","6/8/2026 8:27:05 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202757_selftest.json","FH6_StateSnapshot_20260608_202757_selftest.json","False","441225","6/8/2026 8:28:19 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202757_selftest.txt","FH6_StateSnapshot_20260608_202757_selftest.txt","False","6761","6/8/2026 8:28:19 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202857_selftest.json","FH6_StateSnapshot_20260608_202857_selftest.json","False","441225","6/8/2026 8:29:18 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_202857_selftest.txt","FH6_StateSnapshot_20260608_202857_selftest.txt","False","6761","6/8/2026 8:29:18 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_203908_selftest.json","FH6_StateSnapshot_20260608_203908_selftest.json","False","441225","6/8/2026 8:39:32 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_203908_selftest.txt","FH6_StateSnapshot_20260608_203908_selftest.txt","False","6761","6/8/2026 8:39:32 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_204049_selftest.json","FH6_StateSnapshot_20260608_204049_selftest.json","False","441225","6/8/2026 8:41:12 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_204049_selftest.txt","FH6_StateSnapshot_20260608_204049_selftest.txt","False","6761","6/8/2026 8:41:12 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_204259_selftest.json","FH6_StateSnapshot_20260608_204259_selftest.json","False","441225","6/8/2026 8:43:24 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_204259_selftest.txt","FH6_StateSnapshot_20260608_204259_selftest.txt","False","6761","6/8/2026 8:43:24 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_211410_selftest.json","FH6_StateSnapshot_20260608_211410_selftest.json","False","446298","6/8/2026 9:14:36 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_211410_selftest.txt","FH6_StateSnapshot_20260608_211410_selftest.txt","False","7891","6/8/2026 9:14:36 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_211525_selftest.json","FH6_StateSnapshot_20260608_211525_selftest.json","False","446297","6/8/2026 9:15:52 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_211525_selftest.txt","FH6_StateSnapshot_20260608_211525_selftest.txt","False","7890","6/8/2026 9:15:52 PM"
"C:\Users\boss\Downloads\FH6TOOLBELT\CompanionDoctorData\FH6_CompanionDoctor_Snapshots\FH6_StateSnapshot_20260608_213807_selftest.json","FH6_StateSnapshot_20260608_213807_selftest.json","False","486661","6/8/2026 9:38:40 PM"
